Recipe_Name,Rank,Comment,Comment_Name,Article
The Ultimate Chocolate Cake,1,"Wow, not too sweet and really moist. The frosting was just right! My husband loved it.",Poppy,recipe
Bananas Foster,2,"A fantastic recipe for Bananas Foster that had everyone begging for more! I used Meyers Dark Rum, and added a squeeze of fresh lime. It was gorgeous!",BecR2400,recipe
The Best Snickerdoodles,3,"This recipe made large cookies, and everyone who tried them loved them. They kept asking for more and they were gone in no time!",Cheesehead,recipe
Cream Cheese Brownies,4,This recipe was a complete surprise. The combination of ingredients found in this recipe is not only mouthwatering but delectable in its presentation. The chocolate-cream cheese duo brought a tantalizing view of how desserts can be dream-like.,Taj Mahal,recipe
Strawberry Pie,5,Id never had a strawberry pie made with jello before. The recipe was easy enough for a beginner cook to follow!,Chef shapeweaver,recipe
Extra-Chocolate Bundt Cake With Chocolate Glaze,6,It was my friends birthday and I needed a cake... fast. I happened to have all the ingredients on hand. I made the recipe as written and it turned out very moist and very tasty. I rate it five stars because of the ease of preparation and the delicious outcome.,AngelicFantasia,recipe
Mexican Wedding Cookies,7,I love this recipe! I use chopped pecans for the nuts. This recipe is absolutely a must try! These cookies homemade are much better than the store brand.,rachel hemenway,recipe
Homemade Yellow Cake,8,"I had to make a wedding cake. I usually use pound cake, but my niece wanted a vanilla layer cake. This recipe was delicious, moist and dense. It was firmer than a traditional layer cake but not as heavy as a pound cake. It was exactly what I needed.",Buttons1mbc,recipe
Barefoot Contessa's Carrot Cake Cupcakes,9,"Delicious! I chopped the walnuts finely and it added a nice crunch. I only made half the frosting, and it made me about 30 small cupcakes. I left 6 without frosting and they were also delicious - great breakfast food!",elflngchld,recipe
Fried Oreos,10,"These are the absolute best. When I first tried them, my mouth started watering. The sprinkle of powdered sugar on top is heavenly!",TJ for life,recipe
Banana Bread Brownies,11,"I saw this online this morning and made it this afternoon, it looked that good! Yes, it tastes as good as it looks. Its moist, sweet, flavorful and memorable.",9475948,recipe
Boston Cream Pie,12,"This recipe deserves at least 10 stars! I premade the cakes and froze them. Yesterday, I allowed them to slightly defrost as I filled them with custard and frosted them. I made the cherry topping to put over the top. Oh my, it was so easy and delicious. Its now the recipe I will use for every birthday!",Chabear01,recipe
Peach Cobbler Dump Cake,13,It should be a crime for a recipe to be so easy and delicious!,Kookee doe,recipe
Silky Chocolate Peanut Butter Pie,14,"I used a chocolate pre-baked crust and it was great! You cant tell theres tofu in it, and its very rich.",Debbie Mulligan,recipe
Peanut Butter Cookies,15,"Wonderful! I use a sugar-coated fork to flatten them a bit, and then push three or four chocolate chips onto the top. My coworkers love it when I bring these in.",debskookin,recipe
Fresh Peach Turnovers,16,"Perfect! I made my share of little errors because Id never made turnovers or used puff pastry before, but they came out wonderful! We have a peach tree in our yard, and this is a good way of using some of them. Everyone loved them!",NNChick,recipe
Puff Pastry Glazed Apricot Twists,17,"The perfect amount of flaky pastry to apricot flavor. These are super addictive and very tasty. I will definitely be making them again, and I might even try different flavor jams!",anniesnomsblog,recipe
Sangria Shortcakes,18,This is my new way to make shortcakes! I loved the wine berries in the center. So good.,Jonathan Melendez,recipe
Cookie Dough Brownies,19,"We loved these little guys. We found they were a bit easier to cut first before topping with the cookie dough, frosting and sprinkles. We even added a little glitter dust for a shimmer effect!",Probably This,recipe
Milk & Cookie Cups,20,"I thought these cookie cups were really cute! You get a perfect size to pour a bit of vanilla panna cotta in, which is nice and creamy so it offsets some of the sweetness of the cookies. A perfect finger food dessert for parties.",Izy Hossack,recipe
Maple Krispie Cookies,21,"These treats are hauntingly divine. They were enjoyed by all, and I had to hide some for my dad who is out of town at the moment.",Charishma_Ramchanda,recipe
